date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:43	16356/16356	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2017%20Jun%202024%2014:44:42%20GMT	https://html.themexriver.com/robots.txt		(from )
20:14:43	49379/49379	---MCZ	200	added ('OK')	text/html	etag:W/%22c0e3-5d80985c42715%22	https://html.themexriver.com/avarton/?storefront=envato-elements	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/index04b9.html	(from )
20:14:43	141024/141024	---MCZ	200	added ('OK')	text/css	etag:W/%22620b56d5-226e0%22	https://html.themexriver.com/avarton/assets/css/bootstrap.css	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/assets/css/bootstrap.css	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:43	152991/152991	---MCZ	200	added ('OK')	text/css	etag:W/%22620b56d5-2559f%22	https://html.themexriver.com/avarton/assets/css/style.css	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/assets/css/style.css	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:43	20412/20412	---MCZ	200	added ('OK')	text/css	etag:W/%22620b56d5-4fbc%22	https://html.themexriver.com/avarton/assets/css/responsive.css	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/assets/css/responsive.css	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:43	1250/1250	---M--	200	added ('OK')	image/png	etag:%22620b56d4-4e2%22	https://html.themexriver.com/avarton/assets/images/favicon.png	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/assets/images/favicon.png	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:44	49379/49379	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-c0e3%22	https://html.themexriver.com/avarton/index.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/index.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:44	2245/2245	---M--	200	added ('OK')	image/png	etag:%22620b56d5-8c5%22	https://html.themexriver.com/avarton/assets/images/logo.png	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/assets/images/logo.png	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:44	59802/59802	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-e99a%22	https://html.themexriver.com/avarton/index-2.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/index-2.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:44	47963/47963	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-bb5b%22	https://html.themexriver.com/avarton/index-3.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/index-3.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:44	29566/29566	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-737e%22	https://html.themexriver.com/avarton/about.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/about.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:45	23762/23762	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-5cd2%22	https://html.themexriver.com/avarton/faq.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/faq.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:45	20347/20347	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-4f7b%22	https://html.themexriver.com/avarton/price.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/price.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:45	28123/28123	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-6ddb%22	https://html.themexriver.com/avarton/mentors.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/mentors.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:45	25193/25193	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-6269%22	https://html.themexriver.com/avarton/mentor-detail.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/mentor-detail.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:45	21063/21063	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-5247%22	https://html.themexriver.com/avarton/services.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/services.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:46	27022/27022	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-698e%22	https://html.themexriver.com/avarton/service-detail.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/service-detail.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
20:14:46	26218/26218	---MCZ	200	added ('OK')	text/html	etag:W/%22620b56d6-666a%22	https://html.themexriver.com/avarton/portfolio.html	C:/Users/mitta/Downloads/CareerCoach/html.themexriver.com/avarton/portfolio.html	(from https://html.themexriver.com/avarton/?storefront=envato-elements)
